user_id,signup_ts
U0,2026-01-01T00:00:00Z
U1,2026-01-01T00:00:00Z
U2,2026-01-01T00:00:00Z
U3,2026-01-01T00:00:00Z
U4,2026-01-01T00:00:00Z
U5,2026-01-01T00:00:00Z
U6,2026-01-01T00:00:00Z
U7,2026-01-01T00:00:00Z
U8,2026-01-01T00:00:00Z
U9,2026-01-01T00:00:00Z
U10,2026-01-01T00:00:00Z
U11,2026-01-01T00:00:00Z
U12,2026-01-01T00:00:00Z
U13,2026-01-01T00:00:00Z
U14,2026-01-01T00:00:00Z
U15,2026-01-01T00:00:00Z
U16,2026-01-01T00:00:00Z
U17,2026-01-01T00:00:00Z
U18,2026-01-01T00:00:00Z
U19,2026-01-01T00:00:00Z
U20,2026-01-01T00:00:00Z
U21,2026-01-01T00:00:00Z
U22,2026-01-01T00:00:00Z
U23,2026-01-01T00:00:00Z
U24,2026-01-01T00:00:00Z
U25,2026-01-01T00:00:00Z
U26,2026-01-01T00:00:00Z
U27,2026-01-01T00:00:00Z
U28,2026-01-01T00:00:00Z
U29,2026-01-01T00:00:00Z
U30,2026-01-01T00:00:00Z
U31,2026-01-01T00:00:00Z
U32,2026-01-01T00:00:00Z
U33,2026-01-01T00:00:00Z
U34,2026-01-01T00:00:00Z
U35,2026-01-01T00:00:00Z
U36,2026-01-01T00:00:00Z
U37,2026-01-01T00:00:00Z
U38,2026-01-01T00:00:00Z
U39,2026-01-01T00:00:00Z
