order_id,outcome,disposition_ts,source
PS-0000,chargeback_lost,2026-06-09T00:00:00Z,prod_shaped_fixture
PS-0001,bank_dispute_lost,2026-06-10T01:00:00Z,prod_shaped_fixture
PS-0002,investigator_confirmed_fraud,2026-06-11T02:00:00Z,prod_shaped_fixture
PS-0003,chargeback_lost,2026-06-12T03:00:00Z,prod_shaped_fixture
PS-0004,bank_dispute_lost,2026-06-13T04:00:00Z,prod_shaped_fixture
PS-0005,investigator_confirmed_fraud,2026-06-14T05:00:00Z,prod_shaped_fixture
PS-0006,chargeback_lost,2026-06-15T06:00:00Z,prod_shaped_fixture
PS-0007,bank_dispute_lost,2026-06-16T07:00:00Z,prod_shaped_fixture
PS-0008,investigator_confirmed_fraud,2026-06-17T08:00:00Z,prod_shaped_fixture
PS-0009,chargeback_lost,2026-06-18T09:00:00Z,prod_shaped_fixture
PS-0010,bank_dispute_lost,2026-06-19T10:00:00Z,prod_shaped_fixture
PS-0011,investigator_confirmed_fraud,2026-06-20T11:00:00Z,prod_shaped_fixture
PS-0012,chargeback_lost,2026-06-21T12:00:00Z,prod_shaped_fixture
PS-0013,bank_dispute_lost,2026-06-22T13:00:00Z,prod_shaped_fixture
PS-0014,investigator_confirmed_fraud,2026-06-23T14:00:00Z,prod_shaped_fixture
